Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
27;infrastructure;S212B;20:F4:1B:72:B2:56;;4;No;WPA2,AES-CCM;No;54.0;0;33;0;0;0;0;0;;;Wed Oct 25 02:20:34 2017;Wed Oct 25 02:22:22 2017;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;PantaKill;80:89:17:74:72:C6;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;29;0;15;0;0;15;;;Wed Oct 25 02:20:35 2017;Wed Oct 25 02:22:24 2017;-127;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;22#609-1;74:7D:24:DC:24:6C;;6;No;WPA2,AES-CCM;No;54.0;0;31;0;0;0;0;0;;;Wed Oct 25 02:20:36 2017;Wed Oct 25 02:22:24 2017;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;qwerdfb;20:F4:1B:80:94:00;;9;No;WPA2,AES-CCM,TKIP;No;54.0;0;32;0;0;0;0;0;;;Wed Oct 25 02:20:33 2017;Wed Oct 25 02:22:23 2017;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;B-LINK_D1C7CE;AC:A2:13:D1:C7:CE;;10;No;WPA2,AES-CCM,TKIP;No;54.0;0;8;0;0;0;0;0;;;Wed Oct 25 02:21:10 2017;Wed Oct 25 02:22:23 2017;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;å..å..å..å..å..å..å..å..å..å..;22:02:B4:E5:68:23;;11;No;WPA2,AES-CCM;No;54.0;0;31;0;0;0;0;0;;;Wed Oct 25 02:20:35 2017;Wed Oct 25 02:22:24 2017;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;1#407;50:BD:5F:92:5B:70;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;31;0;0;0;0;0;;;Wed Oct 25 02:20:35 2017;Wed Oct 25 02:22:16 2017;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;é.ªç¥.;4A:EE:65:20:47:1B;;11;No;WPA2,AES-CCM;No;54.0;0;28;0;0;0;0;0;;;Wed Oct 25 02:20:35 2017;Wed Oct 25 02:22:24 2017;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;MoChan;C8:E7:D8:2B:8F:0E;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;36;0;0;0;0;0;;;Wed Oct 25 02:20:36 2017;Wed Oct 25 02:22:24 2017;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;skyzero;C8:E7:D8:3E:58:D8;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;30;0;3;0;0;3;;;Wed Oct 25 02:20:35 2017;Wed Oct 25 02:22:24 2017;-49;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;MERCURY_D25E;C8:E7:D8:2B:D2:5E;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;41;0;0;0;0;0;;;Wed Oct 25 02:20:36 2017;Wed Oct 25 02:22:24 2017;-43;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;W;C8:E7:D8:0C:84:2C;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;39;0;0;0;0;0;;;Wed Oct 25 02:20:29 2017;Wed Oct 25 02:22:18 2017;-38;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
